rank	content
1	o
2	de
3	em
4	e
5	que
6	ser
7	um
8	por
9	para
10	a
11	nao
12	com
13	ter
14	se
16	seu
17	como
18	estar
19	mais
20	mas
21	fazer
22	poder
23	este
24	ou
25	ele
26	esse
27	outro
28	muito
29	haver
30	ir
31	todo
32	eu
33	ja
34	dizer
35	ano
36	dar
37	tambem
38	quando
39	mesmo
40	ver
41	ate
42	dois
43	ainda
44	isso
45	grande
46	vez
47	algum
48	ela
49	depois
50	entre
51	dia
52	so
53	aquele
54	sobre
55	primeiro
56	ficar
57	dever
58	passar
59	saber
60	assim
61	querer
62	onde
63	novo
64	sem
65	vir
66	tempo
67	bem
68	porque
69	meu
70	pessoa
71	coisa
72	entao
73	quem
74	sempre
75	qual
76	chegar
77	vida
78	pouco
79	homem
80	parte
81	tudo
82	casa
83	agora
84	lhe
85	trabalho
86	nosso
87	levar
88	pois
89	deixar
90	bom
91	comecar
92	proprio
93	maior
94	caso
95	falar
96	pais
97	forma
98	cada
99	hoje
100	nem
101	tres
103	encontrar
104	meio
105	aqui
106	mundo
107	apenas
108	estado
109	segundo
110	qualquer
111	cidade
112	menos
113	governo
114	partir
115	conseguir
116	tanto
117	lado
118	chamar
119	melhor
120	pensar
121	nome
122	isto
123	certo
124	mulher
125	conhecer
126	exemplo
127	existir
128	antes
129	tal
130	voce
131	la
132	durante
133	terra
134	ultimo
135	desde
136	contra
137	ai
138	parecer
139	pequeno
140	quanto
141	nada
142	portugues
143	filho
144	tornar
145	agua
146	direito
147	publico
148	entrar
149	problema
150	viver
151	alem
153	historia
154	grupo
155	hora
156	sair
157	acabar
158	continuar
159	tao
160	nunca
161	dentro
162	voltar
163	tomar
164	obra
165	facto
166	ponto
167	trabalhar
168	fim
169	quase
170	pai
171	apresentar
172	relacao
173	criar
174	considerar
175	momento
176	receber
177	ideia
178	politica
179	varios
180	lugar
181	sentir
182	livro
183	nos
184	mes
185	alto
186	forca
187	acontecer
188	familia
189	tipo
190	presidente
191	mil
192	tratar
193	enquanto
194	perder
195	achar
196	escrever
197	quatro
198	usar
199	unico
200	nenhum
201	contar
202	real
203	palavra
204	embora
205	diferente
206	possivel
207	importante
208	mostrar
209	social
210	ali
211	claro
212	mao
213	logo
214	rio
215	seguir
216	situacao
217	questao
218	procurar
219	campo
220	atraves
221	brasileiro
222	tentar
223	servico
224	lei
225	crianca
226	proximo
227	nacional
228	trazer
229	geral
230	frente
231	aparecer
232	manter
233	colocar
234	conta
235	pedir
236	cinco
237	escola
238	verdade
239	corpo
240	morrer
241	guerra
242	musica
243	regiao
244	baixo
245	professor
246	longo
247	accao
248	entender
249	movimento
250	branco
251	processo
252	ganhar
253	arte
254	papel
255	sim
256	esperar
257	fundo
258	senhor
259	numero
260	definir
261	tarde
262	abrir
263	sociedade
264	povo
265	forte
266	cabeca
267	altura
268	volta
269	condicao
270	apesar
271	valor
272	mae
273	servir
274	pagar
275	causa
276	antigo
277	maneira
278	humano
279	sentido
280	permitir
281	deus
282	modo
283	gente
284	imagem
285	epoca
286	noite
287	velho
288	cair
289	aquilo
290	projecto
291	final
292	acreditar
293	jornal
294	razao
295	especie
296	junto
297	preciso
298	seculo
299	precisar
300	ler
301	dinheiro
302	talvez
303	plano
304	nascer
305	centro
306	partido
307	descobrir
308	ouvir
309	ligar
310	interesse
311	amigo
312	seguinte
313	termo
314	mudar
315	linha
316	medida
317	teatro
318	espaco
319	animal
320	santo
321	acordo
322	olhar
323	necessario
324	jovem
325	futuro
326	local
327	falta
328	morte
329	politico
330	banco
331	posicao
332	rua
333	dificil
334	mercado
335	resolver
336	caminho
337	jogo
338	estudar
339	igreja
340	formar
341	surgir
342	lembrar
343	representar
344	negocio
345	via
346	semana
347	luz
348	contrario
349	bastante
350	pessoal
351	realidade
352	explicar
353	mal
354	militar
355	seis
356	empresa
357	pe
358	perceber
359	ajudar
360	ordem
361	defender
362	ocorrer
363	principal
364	assunto
365	passo
366	portanto
367	actividade
368	aceitar
369	direccao
370	necessidade
371	dez
372	ministro
373	qualidade
374	realizar
375	funcao
376	olho
377	respeito
378	tirar
379	cima
380	mar
381	natural
382	costa
383	peca
384	area
385	lancar
386	preco
387	correr
388	experiencia
389	norte
390	principio
391	autor
392	curso
393	crescer
394	aumentar
395	decisao
396	camara
397	andar
398	sistema
399	vontade
400	maioria
401	acompanhar
402	viagem
403	senhora
404	aspecto
405	artista
406	idade
407	aberto
408	conto
409	medico
410	capital
411	sobretudo
412	entanto
413	cultura
414	escolher
415	conhecimento
416	responder
417	pretender
418	populacao
419	estudo
420	resposta
421	informacao
422	comum
423	gostar
424	superior
425	saude
426	capaz
427	porta
428	terceiro
429	vender
430	republica
431	matar
432	menor
433	especial
434	sul
435	cinema
436	pena
437	cor
438	sofrer
439	estrangeiro
440	ar
441	carro
442	igual
443	figura
444	interior
445	dificuldade
446	decidir
447	negro
448	compreender
449	milhao
450	importancia
451	produzir
452	livre
453	rede
454	efeito
455	fechar
456	possibilidade
457	oito
458	principalmente
459	quadro
460	espirito
461	elemento
462	base
463	cujo
464	transformar
465	comprar
466	tu
467	apos
468	filha
469	sob
470	referir
471	pedra
472	filme
473	madeira
474	natureza
475	periodo
476	presente
477	sete
478	recurso
479	levantar
480	mandar
481	unido
482	resultado
483	preso
484	reconhecer
485	dirigir
486	tocar
487	director
488	irmao
489	ninguem
490	mau
491	simples
492	programa
493	construir
494	diverso
495	cerca
496	classe
497	conselho
498	amor
499	televisao
500	valer
501	banda
502	carta
503	seguranca
504	vinte
505	quarto
506	diferenca
507	perto
508	opiniao
509	titulo
510	luta
511	afirmar
512	terminar
513	algo
514	peixe
515	atras
516	atingir
517	interessar
518	discutir
519	voz
520	companhia
521	significar
522	objecto
523	alguem
524	anterior
525	buscar
526	duvida
527	inicio
528	materia
529	graca
530	lingua
531	enorme
532	americano
